Code,Prov,Loc,EC,TA,TW,Q,Elv,SiO2,SiO4,Al,Fe,Ca,Mg,Na,K ,Li,NH3,Cl,SO4,HCO3,H2S,B,Al3+,As3+,NH4+,CO3-,F,Br,NO3,PO42-,H2S,pH
11,Jabar,"Kraha Bodas, Jawa Barat",0,22,0,0,0,97.1,0,0,3.3,36.9,32,12.3,3.3,0.08,0,62,216,0,0,0.25,8,0,0,0,0.21,0,0,0,0,3.8
12,Jabar,"Kraha Bodas, Jawa Barat",0,93,0,0,0,336,0,0,30.8,207.4,92,42.3,1.7,0.04,0,16,2050,0,0,0.19,94.1,0,0,0,0.54,0,0,0,0,2.83
13,Jabar,"Kraha Bodas, Jawa Barat",0,90,0,0,0,320,0,0,168.4,322.7,140.4,68.9,27.1,0.48,0,3072,5016,0,0,1.46,328,0,0,0,0.08,0,0,0,0,0.82
14,Jabar,"Kraha Bodas, Jawa Barat",0,72,0,0,0,189,0,0,24.8,61.5,20.1,26.3,10.3,0.17,0,26,1560,0,0,0.35,58.2,0,0,0,0.29,0,0,0,0,1.78
15,Jabar,"Kraha Bodas, Jawa Barat",0,61,0,0,0,293,0,0,17.6,131.1,58.7,75.8,14.5,0.16,0,288,622,0,0,1.97,32,0,0,0,1.04,0,0,0,0,2.78
16,Jabar,"Kraha Bodas, Jawa Barat",0,48,0,0,0,189,0,0,94.4,157.3,72.1,51.1,24.4,0.06,0,2129,438,0,0,10.3,460.8,0,0,0,1.59,0,0,0,0,2.72
17,Jabar,"Kraha Bodas, Jawa Barat",0,43,0,0,0,183,0,0,15.2,67.1,32.8,38.2,9.9,0,0,322,298,0,0,1.91,35.6,0,0,0,0.8,0,0,0,0,2.29
18,Jabar,"Kraha Bodas, Jawa Barat",0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81
19,Jabar,"Kraha Bodas, Jawa Barat",0,22,0,0,0,39.2,0,0,1,8.4,4.9,3.7,1.1,0,0,4.6,27.4,0,0,0,0,0,0,0,0.06,0,0,0,0,3.8
110,Jabar,"Kraha Bodas, Jawa Barat",0,22,0,0,0,43.2,0,0,30.7,3.3,1.4,6.5,3,0.1,0,4.3,184,0,0,0.18,5,0,0,0,0.04,0,0,0,0,3.82
111,Jabar,"Kraha Bodas, Jawa Barat",0,96,0,0,0,246,0,0,14.4,28.9,19.4,12.8,6.6,0,0,2.6,965,0,0,0.09,35.8,0,49.4,0,0.18,0,0,0,0,2.29
112,Jabar,"Kraha Bodas, Jawa Barat",0,91,0,0,0,121.2,0,0,1.2,7,1,3,10.7,0,0,11.2,108,0,0,0,0.5,0,94.2,33,0.11,0,0,0,0,6.61
113,Jabar,"Kraha Bodas, Jawa Barat",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,7.24
114,Jabar,"Kraha Bodas, Jawa Barat",0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,6.28
115,Jabar,"Kraha Bodas, Jawa Barat",0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,6.38
116,Jabar,"Kraha Bodas, Jawa Barat",0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,7.1
117,Jabar,"Kraha Bodas, Jawa Barat",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,6.28
118,Jabar,"Kraha Bodas, Jawa Barat",0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,0,0,0,0,6.08
119,Jabar,"Kraha Bodas, Jawa Barat",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49
